"CustomerId","Age","VegOrNonVeg","PreviousOrders","FavouriteCuisine","AverageBill","OrderedItem"
"467","24","Veg","16","North Indian","539.53","Paneer Butter Masala"
"240","56","Veg","39","Italian","1270.98","Hakka Noodles"
"194","38","NonVeg","15","Chinese","1357.11","Chicken Pizza"
"254","58","NonVeg","17","Continental","1329.02","Butter Chicken"
"480","65","Veg","42","Italian","969.89","Margherita Pizza"
"71","33","NonVeg","14","Italian","409.64","Fish Curry"
"45","19","Veg","6","Italian","535.03","Hakka Noodles"
"456","47","Veg","41","Italian","518.43","Margherita Pizza"
"172","30","Veg","16","Continental","691.06","Veg Biryani"
"416","55","NonVeg","12","Continental","804.42","Gulab Jamun"
"49","25","Veg","35","North Indian","477.48","Paneer Butter Masala"
"369","34","Veg","30","South Indian","682.01","Margherita Pizza"
"176","20","Veg","17","North Indian","237.58","Paneer Butter Masala"
"26","18","Veg","34","Continental","1137.32","Margherita Pizza"
"168","70","NonVeg","35","Continental","490.28","Chicken Pizza"
"202","63","Veg","2","North Indian","1157.3","Veg Biryani"
"464","52","NonVeg","1","Chinese","906.46","Gulab Jamun"
"326","41","NonVeg","21","Continental","756.56","Fish Curry"
"73","57","Veg","20","North Indian","233.62","Veg Biryani"
"163","25","Veg","8","Continental","663.1","Margherita Pizza"
"92","53","NonVeg","11","South Indian","1315.84","Hakka Noodles"
"175","54","Veg","9","Chinese","329.28","Hakka Noodles"
"274","58","Veg","35","South Indian","999.04","Masala Dosa"
"58","28","Veg","34","Italian","490.54","Margherita Pizza"
"254","32","NonVeg","9","Continental","902.02","Chicken Biryani"
"384","63","Veg","24","South Indian","743.58","Hakka Noodles"
"37","68","Veg","41","South Indian","1136.29","Masala Dosa"
"195","31","Veg","32","South Indian","1113.2","Hakka Noodles"
"238","40","NonVeg","31","Italian","261.56","Fish Curry"
"203","52","NonVeg","23","Continental","1190.43","Chicken Pizza"
"453","50","Veg","10","South Indian","1117.84","Gulab Jamun"
"119","70","Veg","21","Continental","230.15","Veg Biryani"
"13","33","Veg","37","Italian","320","Hakka Noodles"
"215","31","NonVeg","18","Continental","529.63","Chicken Pizza"
"150","65","Veg","43","South Indian","981.4","Margherita Pizza"
"317","65","Veg","44","Italian","762.49","Margherita Pizza"
"214","33","Veg","2","South Indian","464.39","Masala Dosa"
"180","54","Veg","32","Chinese","634.55","Veg Biryani"
"180","44","Veg","22","Continental","749.28","Paneer Butter Masala"
"53","54","Veg","17","Italian","1306.95","Margherita Pizza"
"198","36","NonVeg","28","Continental","652.11","Chicken Biryani"
"488","66","Veg","3","South Indian","182.74","Hakka Noodles"
"98","30","NonVeg","13","South Indian","1307.92","Hakka Noodles"
"204","37","NonVeg","1","Italian","509.01","Fish Curry"
"297","24","NonVeg","14","Chinese","566.35","Fish Curry"
"177","24","NonVeg","44","North Indian","1335.43","Butter Chicken"
"292","33","Veg","21","Italian","640.74","Hakka Noodles"
"232","49","Veg","44","North Indian","1272.57","Paneer Butter Masala"
"485","70","Veg","6","Chinese","1366.04","Gulab Jamun"
"399","30","NonVeg","30","Chinese","637.85","Hakka Noodles"
"51","68","Veg","43","South Indian","1189.31","Veg Biryani"
"39","39","Veg","40","Italian","1168.98","Margherita Pizza"
"264","31","Veg","19","South Indian","335.34","Margherita Pizza"
"66","64","Veg","43","Continental","642.27","Hakka Noodles"
"34","67","NonVeg","1","Chinese","1124.45","Chicken Biryani"
"314","19","NonVeg","4","North Indian","615.28","Chicken Biryani"
"295","42","Veg","8","South Indian","1249.97","Paneer Butter Masala"
"490","32","Veg","12","South Indian","503.96","Margherita Pizza"
"43","47","Veg","21","North Indian","1343.7","Paneer Butter Masala"
"243","33","NonVeg","2","Continental","192.5","Hakka Noodles"
"117","33","Veg","34","South Indian","1259.1","Masala Dosa"
"209","47","NonVeg","22","Continental","830.7","Butter Chicken"
"323","43","Veg","23","Chinese","285.95","Masala Dosa"
"236","63","Veg","18","Chinese","829.8","Masala Dosa"
"81","37","Veg","39","North Indian","304.64","Paneer Butter Masala"
"492","32","NonVeg","17","Italian","1075.33","Hakka Noodles"
"496","26","Veg","19","Continental","983.41","Veg Biryani"
"410","41","Veg","41","Italian","1186.75","Margherita Pizza"
"219","21","NonVeg","16","South Indian","1092.88","Butter Chicken"
"94","20","NonVeg","20","Chinese","486.62","Fish Curry"
"106","46","Veg","16","North Indian","976.27","Veg Biryani"
"346","23","NonVeg","39","Continental","756.2","Butter Chicken"
"464","66","Veg","12","Continental","590.09","Veg Biryani"
"106","44","Veg","44","North Indian","835.15","Paneer Butter Masala"
"65","51","Veg","19","Continental","1145.84","Gulab Jamun"
"450","40","Veg","8","Italian","909.08","Margherita Pizza"
"475","22","Veg","13","Italian","1073.54","Margherita Pizza"
"58","39","NonVeg","41","North Indian","490.77","Chicken Biryani"
"20","34","Veg","6","South Indian","180.57","Veg Biryani"
"242","35","NonVeg","30","Italian","854.81","Fish Curry"
"248","24","Veg","33","North Indian","214.03","Veg Biryani"
"207","40","Veg","36","Chinese","495.32","Hakka Noodles"
"115","56","NonVeg","25","Italian","195.98","Fish Curry"
"56","59","Veg","27","North Indian","1212.75","Paneer Butter Masala"
"381","62","Veg","9","Chinese","739.12","Veg Biryani"
"139","41","Veg","11","North Indian","925.61","Paneer Butter Masala"
"443","50","NonVeg","33","South Indian","931.26","Chicken Biryani"
"306","70","NonVeg","25","North Indian","482.75","Chicken Biryani"
"173","32","Veg","8","North Indian","639.56","Paneer Butter Masala"
"296","40","Veg","36","Chinese","961.91","Hakka Noodles"
"135","51","Veg","18","South Indian","1323.15","Margherita Pizza"
"86","32","NonVeg","11","Continental","451.68","Chicken Biryani"
"425","24","Veg","10","Chinese","358.79","Paneer Butter Masala"
"90","23","Veg","11","North Indian","1298.97","Paneer Butter Masala"
"92","40","NonVeg","43","Continental","533.95","Fish Curry"
"180","49","NonVeg","14","North Indian","591.05","Chicken Biryani"
"1","40","Veg","7","Continental","388.1","Margherita Pizza"
"153","54","NonVeg","23","Italian","1068.66","Fish Curry"
"264","18","Veg","1","North Indian","289.3","Paneer Butter Masala"
"422","40","NonVeg","41","South Indian","1367.11","Fish Curry"
"267","58","Veg","36","Continental","768.87","Hakka Noodles"
"339","67","Veg","34","North Indian","393.42","Veg Biryani"
"375","37","Veg","25","Italian","1233.08","Margherita Pizza"
"284","31","Veg","12","South Indian","1177.85","Veg Biryani"
"499","68","NonVeg","9","South Indian","370.1","Fish Curry"
"459","43","NonVeg","11","Chinese","1105.69","Chicken Biryani"
"45","35","Veg","41","South Indian","1200.19","Margherita Pizza"
"32","23","NonVeg","5","South Indian","290.9","Chicken Pizza"
"259","42","NonVeg","30","Italian","1340.26","Fish Curry"
"484","28","NonVeg","1","Italian","996.69","Hakka Noodles"
"448","41","NonVeg","5","South Indian","1178.64","Gulab Jamun"
"457","58","Veg","44","South Indian","751.59","Gulab Jamun"
"431","19","NonVeg","3","North Indian","1299.49","Chicken Biryani"
"4","53","Veg","36","Italian","661.53","Margherita Pizza"
"66","64","NonVeg","8","Continental","327.75","Chicken Biryani"
"331","46","Veg","12","North Indian","381.59","Paneer Butter Masala"
"354","48","Veg","22","Chinese","903.81","Paneer Butter Masala"
"83","52","Veg","33","Continental","305.76","Margherita Pizza"
"387","55","NonVeg","19","South Indian","1245.69","Butter Chicken"
"439","64","Veg","16","Continental","1118.28","Hakka Noodles"
"248","40","Veg","34","Continental","421.28","Gulab Jamun"
"48","28","NonVeg","36","South Indian","540.57","Butter Chicken"
"115","38","NonVeg","1","Italian","1339.24","Fish Curry"
"413","33","NonVeg","13","Continental","1245.45","Hakka Noodles"
"350","30","NonVeg","37","North Indian","1177.38","Chicken Biryani"
"118","55","Veg","40","Continental","983.29","Hakka Noodles"
"255","25","NonVeg","26","Chinese","994.63","Fish Curry"
"248","40","Veg","36","South Indian","957","Masala Dosa"
"68","26","NonVeg","14","Italian","985.13","Fish Curry"
"487","57","Veg","21","Continental","653.59","Hakka Noodles"
"334","47","Veg","14","North Indian","1372.17","Veg Biryani"
"68","32","Veg","10","Chinese","557.77","Masala Dosa"
"408","21","NonVeg","9","North Indian","426.19","Chicken Biryani"
"280","57","Veg","44","Italian","300.29","Hakka Noodles"
"201","55","NonVeg","13","North Indian","823.42","Butter Chicken"
"430","52","Veg","29","Italian","1171.96","Hakka Noodles"
"442","48","NonVeg","16","North Indian","1379.39","Chicken Biryani"
"338","50","NonVeg","9","South Indian","369.6","Gulab Jamun"
"402","65","Veg","40","South Indian","311.46","Margherita Pizza"
"279","45","Veg","35","Continental","1062.15","Margherita Pizza"
"213","38","Veg","17","Italian","1327.03","Hakka Noodles"
"92","41","Veg","5","Chinese","989.32","Hakka Noodles"
"45","18","NonVeg","17","North Indian","1049.4","Butter Chicken"
"371","30","Veg","32","Chinese","248.13","Veg Biryani"
"23","59","Veg","12","Italian","572.25","Margherita Pizza"
"116","30","NonVeg","9","Continental","479.95","Chicken Biryani"
"235","63","NonVeg","20","Chinese","923.41","Hakka Noodles"
"259","64","NonVeg","1","Italian","740.39","Fish Curry"
"76","43","NonVeg","40","Chinese","1001.11","Butter Chicken"
"323","28","Veg","16","Continental","345.86","Paneer Butter Masala"
"387","52","Veg","21","North Indian","1211.45","Paneer Butter Masala"
"192","43","NonVeg","20","South Indian","507.84","Chicken Pizza"
"453","29","Veg","38","South Indian","815.13","Gulab Jamun"
"376","56","Veg","25","South Indian","274.46","Margherita Pizza"
"329","53","NonVeg","22","North Indian","1167.98","Chicken Biryani"
"114","55","Veg","27","Italian","1071.78","Hakka Noodles"
"5","68","Veg","19","Italian","1101.6","Hakka Noodles"
"490","22","Veg","27","Italian","1066.87","Margherita Pizza"
"464","69","NonVeg","35","Continental","207.47","Chicken Biryani"
"407","60","Veg","20","Continental","1052.4","Gulab Jamun"
"261","27","NonVeg","35","South Indian","994.21","Hakka Noodles"
"387","55","NonVeg","14","North Indian","1069.16","Chicken Biryani"
"288","39","Veg","4","Continental","993.06","Masala Dosa"
"363","59","Veg","32","Continental","539.44","Veg Biryani"
"78","67","Veg","2","Continental","415.94","Gulab Jamun"
"452","37","Veg","3","Continental","730.36","Paneer Butter Masala"
"136","51","NonVeg","13","Italian","365.99","Fish Curry"
"196","49","Veg","3","South Indian","464.4","Paneer Butter Masala"
"200","49","Veg","17","North Indian","1133.98","Paneer Butter Masala"
"385","44","Veg","24","South Indian","921.66","Masala Dosa"
"24","34","Veg","10","North Indian","987.31","Veg Biryani"
"75","49","Veg","7","Italian","725.17","Margherita Pizza"
"167","59","Veg","43","Continental","1096.86","Hakka Noodles"
"390","54","NonVeg","30","Chinese","785.16","Fish Curry"
"66","30","Veg","24","Chinese","783.73","Paneer Butter Masala"
"141","29","Veg","25","Continental","591.47","Paneer Butter Masala"
"498","66","Veg","15","South Indian","478.72","Margherita Pizza"
